28.51.8|Does this mean...|Does this mean...
6.96.3|Eeek!  A citrus long-horned beetle! What a wretched thing...|Eeek!  A citrus long-horned beetle! What a wretched thing...
4.118.9|And though bugs are the bane of my existence, rest assured the wretched thing will get the best of care here.|And though bugs are the bane of my existence, rest assured the wretched thing will get the best of care here.
18.53.2|These trace fossils are like social- media feeds, enabling us to follow the daily lives of the dinosaurs!|These trace fossils are like social- media feeds, enabling us to follow the daily lives of the dinosaurs!
30.30.6|Hoo! What would you like me to assess? I'm all aflutter!|Hoo! What would you like me to assess? I'm all aflutter!
4.59.3|Hootie hoo! This must be... a koi!|Hootie hoo! This must be... a koi!
39.17.9|Il am indeed tempted to purchase these for my personal collection...|Il am indeed tempted to purchase these for my personal collection...
20.96.2|roo... Must stop thinking about...the unthinkable.|roo... Must stop thinking about...the unthinkable.
5.59.3|Do have a look around. No rush. Take your time.|Do have a look around. No rush. Take your time.
33.57.10|Is there anything else I can help you with?|Is there anything else I can help you with?
4.116.6|Yes, butterfly wings are covered in  tiny scales! SCALES! Butterfly? Bah! More like snake of the sky!|Yes, butterfly wings are covered in  tiny scales! SCALES! Butterfly? Bah! More like snake of the sky!
12.93.1|Marvelous! What would you like to donate?|Marvelous! What would you like to donate?
23.62.4|I see. Very well, I shall gladly accept your generous donation.|I see. Very well, I shall gladly accept your generous donation.
34.21.4|Your generosity would enable us to add an art exhibit to our beloved museum.|Your generosity would enable us to add an art exhibit to our beloved museum.
5.27.5|I only hope we can find what remains of this fossil and display it in its fully assembled form.|I only hope we can find what remains of this fossil and display it in its fully assembled form.
14.100.1|Might there be something with which I can assist you?|Might there be something with which I can assist you?
10.81.10|I never thought I'd lay eyes upon such a well-preserved spino skull.|I never thought I'd lay eyes upon such a well-preserved spino skull.
29.30.9|Dear me, might I give you a short presentation on the topic? I am quite knowledgeable, you know.|Dear me, might I give you a short presentation on the topic? I am quite knowledgeable, you know.
1.12.6|As it happens, there sits a substantial stretch of land beyond the river.|As it happens, there sits a substantial stretch of land beyond the river.
6.94.1|Ooo hoo hoo! Could it be? It is...|Ooo hoo hoo! Could it be? It is...
8.26.3|Good morning, Thea!|Good morning, Thea!
11.43.6|Hoo! More than one, I see! Let us take a closer look, shall we?|Hoo! More than one, I see! Let us take a closer look, shall we?
7.17.7|Anyhoot... My sincerest thanks for your donation.|Anyhoot... My sincerest thanks for your donation.
18.127.2|Alas, I am obliged to ask... Would you like to learn more about this specimen?|Alas, I am obliged to ask... Would you like to learn more about this specimen?
31.32.4|But no. I must exercise restraint and return them to you now.|But no. I must exercise restraint and return them to you now.
12.91.3|iam just relieved I will never have to escape one. Hoo.|iam just relieved I will never have to escape one. Hoo.
50.10.4|Welcome to the Atsukari Museum.|Welcome to the Atsukari Museum.
45.39.1|Hooooo... WH O ?|Hooooo... WH O ?
14.74.7|Perhaps I could learn a thing or two from the pale chub...|Perhaps I could learn a thing or two from the pale chub...
6.24.11|It's a bit disappointing, really... This illustrious sky god scrabbling on the ground like a common beetle...|It's a bit disappointing, really... This illustrious sky god scrabbling on the ground like a common beetle...
22.68.12|Rest assured, all donations are displayed in a timely manner.|Rest assured, all donations are displayed in a timely manner.
22.93.9|Superb, indeed, splendid! A rare fossil we do not yet have in our collection!|Superb, indeed, splendid! A rare fossil we do not yet have in our collection!
5.25.7|And there you have it. Fascinating stuff, no?|And there you have it. Fascinating stuff, no?
16.103.8|I am indeed tempted to purchase these for my personal collection...|I am indeed tempted to purchase these for my personal collection...
14.102.3|Aggressive predators with venomous stingers, wasps not only hunt and eat other insects...|Aggressive predators with venomous stingers, wasps not only hunt and eat other insects...
7.19.8|And that is what I have to say about that. Anyhoot, I will gladly accept your generous donation.|And that is what I have to say about that. Anyhoot, I will gladly accept your generous donation.
10.83.6|Many thanks to you, and best of luck.|Many thanks to you, and best of luck.
6.92.7|It is magnificent indeed! You have a talent for finding the finest of fossils.|It is magnificent indeed! You have a talent for finding the finest of fossils.
6.24.8|The Quetzalcoatlus! The undisputed ruler of the skies...at least during the late Cretaceous period.|The Quetzalcoatlus! The undisputed ruler of the skies...at least during the late Cretaceous period.
4.18.7|There is much we still don't know. We may yet discover even older organisms with even fewer jaws!|There is much we still don't know. We may yet discover even older organisms with even fewer jaws!
1.97.6|It's absurd, of course. Where would these alleged fish jockeys attach a saddle, much less horseshoes?|It's absurd, of course. Where would these alleged fish jockeys attach a saddle, much less horseshoes?
25.58.7|Now I'll just have to figure out where in the museum to display it— fish or fossils!|Now I'll just have to figure out where in the museum to display it— fish or fossils!
14.47.8|Now, might I interest you in a few fascinating facts about your tuna?|Now, might I interest you in a few fascinating facts about your tuna?
47.55.2|Jolly good. Please enjoy the rest of your visit.|Jolly good. Please enjoy the rest of your visit.
25.56.8|Hoo hooray! I've found something that is not yet part of our esteemed collection!|Hoo hooray! I've found something that is not yet part of our esteemed collection!
13.51.3|Now, I do hope you will consider donating what you've found.|Now, I do hope you will consider donating what you've found.
9.98.5|As herbivores go, Triceratops was unusually well equipped for combat, wot!|As herbivores go, Triceratops was unusually well equipped for combat, wot!
1.30.1|Indeed, we would be one step closer to opening our museum with a right megalo side like this.|Indeed, we would be one step closer to opening our museum with a right megalo side like this.
4.99.3|I say, you have quite the knack for finding valuable fossils.|I say, you have quite the knack for finding valuable fossils.
1.16.2|With this, we need 13 donations to open the museum!|With this, we need thirteen donations to open the museum!
11.61.1|Hoocooo... WHO? !|Hoocooo... WHO? !
42.25.1|Hoot, indeed. I shall keep this brief. Ahem! Dearest residents of Atsukari...|Hoot, indeed. I shall keep this brief. Ahem! Dearest residents of Atsukari...
1.95.4|Oh, the carp...have you ever seen their teeth? For your sake, I hope you have not!|Oh, the carp...have you ever seen their teeth? For your sake, I hope you have not!
42.106.5|That is, fossils must first be appraised by yours truly.|That is, fossils must first be appraised by yours truly.
2.24.2|By the by, I wonder if you have anything else that could be donated and—if so—might I take it for you?|By the by, I wonder if you have anything else that could be donated and—if so—might I take it for you?
4.84.6|Hive bees then chew the substance and spit it into the honeycomb, fluttering their wings to dry it out.|Hive bees then chew the substance and spit it into the honeycomb, fluttering their wings to dry it out.
29.29.8|lts teeth seem to have grown ina distinctive arrangement rather disturbingly termed a "tooth-whorl."|lts teeth seem to have grown ina distinctive arrangement rather disturbingly termed a "tooth-whorl."
21.28.4|Hoo! Woo hoo! This is undoubtedly... a bluegill!|Hoo! Woo hoo! This is undoubtedly... a bluegill!
4.21.3|Now, might I interest you in a few fascinating facts about your black bass?|Now, might I interest you in a few fascinating facts about your black bass?
49.40.7|Yes indeed, quite splendid. Alas, our museum already has fossils such as these.|Yes indeed, quite splendid. Alas, our museum already has fossils such as these.
13.53.1|Oho! Ankylosaurus was the herbivore hero, the grazing gladiator, the vegetarian barbarian of antiquity!|Oho! Ankylosaurus was the herbivore hero, the grazing gladiator, the vegetarian barbarian of antiquity!
41.17.1|Hooooo... WHO? !|Hooooo... WHO? !
12.23.9|An, I see. In that case...ahem...|An, I see. In that case...ahem...
24.47.1|The shape and coloration of guppy fins are all unique. Quite eye- catching, I must say.|The shape and coloration of guppy fins are all unique. Quite eye- catching, I must say.
4.21.2|Hoo! Woo hoo! This is undoubtedly... a black bass!|Hoo! Woo hoo! This is undoubtedly... a black bass!
4.84.7|Yes, you could say honey is a tasty tribute to the hard work of the humble honeybee.|Yes, you could say honey is a tasty tribute to the hard work of the humble honeybee.
21.28.5|Now, might I interest you in a few fascinating facts about your bluegill?|Now, might I interest you in a few fascinating facts about your bluegill?
29.29.9|I say "seem" because shark skeletons are made not of bone, but cartilage, except for their teeth.|I say "seem" because shark skeletons are made not of bone, but cartilage, except for their teeth.
42.106.4|We accept donations of bugs, fish, and officially assessed fossils, as well as works of art...|We accept donations of bugs, fish, and officially assessed fossils, as well as works of art...
1.95.5|Carp have teeth in their throat strong enough to crunch on hard things like shells and fingers!|Carp have teeth in their throat strong enough to crunch on hard things like shells and fingers!
1.16.3|Needless to say, I am eager to accept your continued contributions! Hoo!|Needless to say, I am eager to accept your continued contributions! Hoo!
4.99.2|Hoo! WOO hoo! These are rare fossils, each and every one, and have not appeared in our collection!|Hoo! WOO hoo! These are rare fossils, each and every one, and have not appeared in our collection!
8.113.3|Eeek!  A man-faced stink bug! What a wretched thing...|Eeek!  A man-faced stink bug! What a wretched thing...
10.81.5|The cultural development of Atsukari is a worthy endeavor indeed.|The cultural development of Atsukari is a worthy endeavor indeed.
9.98.4|Wonderful! 'Tis fascinating stuff, I assure you! Now, where to begin...|Wonderful! 'Tis fascinating stuff, I assure you! Now, where to begin...
34.46.2|Oh dear. Pardon me...|Oh dear. Pardon me...
25.56.12|In the meantime, I shall return these to you. But think on what I've said. The museum awaits!|In the meantime, I shall return these to you. But think on what I've said. The museum awaits!
2.26.1|Pachycephalosaurus was, to be blunt, not the brightest star in the dinosaur firmament.|Pachycephalosaurus was, to be blunt, not the brightest star in the dinosaur firmament.
14.47.9|Wonderful! I would love nothing more!|Wonderful! I would love nothing more!
1.97.7|One does wish that people would construct their legends with a BIT more scientific plausibility!|One does wish that people would construct their legends with a BIT more scientific plausibility!
4.18.6|It was about an inch long and seems to have had no lower jaw. It is awe- inspiring imagining such ancient life!|It was about an inch long and seems to have had no lower jaw. It is awe- inspiring imagining such ancient life!
25.58.6|They were long thought extinct, so when living specimens were discovered, it was quite a shock!|They were long thought extinct, so when living specimens were discovered, it was quite a shock!
6.24.9|It had a magnificent wingspan of roughly 36 feet, making it one of the largest flying animals ever!|It had a magnificent wingspan of roughly thirty six feet, making it one of the largest flying animals ever!
1.14.1|Hootie hoo! This must be... an olive flounder!|Hootie hoo! This must be... an olive flounder!
14.102.2|Surely you've seen what a menace they make of themselves at picnics. "Tis hardly the worst of it, wot wot!|Surely you've seen what a menace they make of themselves at picnics. "Tis hardly the worst of it, wot wot!
6.24.10|While it no doubt soared magnificently, we now know that it also crawled on all fours.|While it no doubt soared magnificently, we now know that it also crawled on all fours.
22.93.8|This is most assuredly a megacero tail!|This is most assuredly a megacero tail!
5.25.6|Of course, having your shell INSIDE is not a best practice. Perhaps they lost the owner's manual!|Of course, having your shell INSIDE is not a best practice. Perhaps they lost the owner's manual!
14.74.6|Though normally plain, these fellows really know how to look stylish when they want to.|Though normally plain, these fellows really know how to look stylish when they want to.
1.29.1|THIS bird most of all!|THIS bird most of all!
23.60.7|Eeek! A snail!  What a wretched thing...|Eeek! A snail!  What a wretched thing...
50.10.5|How may I be of service?|How may I be of service?
12.91.2|It's unclear how fast T. Rex was since estimates vary wildly...|It's unclear how fast T. Rex was since estimates vary wildly...
7.17.6|Imagine! To behold a beautiful bud...  only to discover it's a bug instead! A repulsive revelation indeed!|Imagine! To behold a beautiful bud...  only to discover it's a bug instead! A repulsive revelation indeed!
18.51.1|Hooooo... WH 0? !|Hooooo... WH zero? !
29.30.8|I never thought I'd lay eyes upon such a well-preserved plesio skull.|I never thought I'd lay eyes upon such a well-preserved plesio skull.
1.12.7|I would bet my pinfeathers this primitive plot is flush with the fossils I require!|I would bet my pinfeathers this primitive plot is flush with the fossils I require!
43.103.3|Ah, but first...how may I assist you?|Ah, but first...how may I assist you?
23.62.5|Now, I only hope we can find the remaining parts and display the completed fossil. Best of luck!|Now, I only hope we can find the remaining parts and display the completed fossil. Best of luck!
34.21.5|What say you? Might I give this work of art a new home?|What say you? Might I give this work of art a new home?
28.51.9|The Megaloceros was a remarkable creature.|The Megaloceros was a remarkable creature.
20.96.1|Now, one final fact before I faint... The gruesome bug uses its nose...to inject its prey...with digestive juices.|Now, one final fact before I faint... The gruesome bug uses its nose...to inject its prey...with digestive juices.
